GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library-app,pl.s32832.library.mapper,AuthorMapper,8,0,0,0,1,0,1,0,1,0
library-app,pl.s32832.library.mapper,ProfileMapper,13,0,0,0,1,0,1,0,1,0
library-app,pl.s32832.library.mapper,UserMapper,10,0,0,0,1,0,1,0,1,0
library-app,pl.s32832.library.mapper,BookMapper,25,0,0,0,7,0,2,0,2,0
library-app,pl.s32832.library.mapper,LoanMapper,18,0,0,0,7,0,1,0,1,0
library-app,pl.s32832.library.entity,User,18,31,0,0,4,10,4,6,4,6
library-app,pl.s32832.library.entity,UserProfile,10,29,0,0,3,10,3,6,3,6
library-app,pl.s32832.library.entity,Loan,28,28,0,0,8,10,8,5,8,5
library-app,pl.s32832.library.entity,Author,11,21,0,0,2,7,2,4,2,4
library-app,pl.s32832.library.entity,Book,37,38,0,0,8,12,8,5,8,5
library-app,pl.s32832.library.controller,LoanController,37,0,0,0,9,0,6,0,6,0
library-app,pl.s32832.library.controller,UserController,38,0,0,0,9,0,6,0,6,0
library-app,pl.s32832.library.controller,ProfileController,31,0,0,0,8,0,5,0,5,0
library-app,pl.s32832.library.controller,AuthorController,38,0,0,0,9,0,6,0,6,0
library-app,pl.s32832.library.controller,BookController,52,0,0,0,11,0,8,0,8,0
library-app,pl.s32832.library,LibraryApplication,8,0,0,0,3,0,2,0,2,0
library-app,pl.s32832.library.exception,ErrorResponse,18,0,0,0,1,0,1,0,1,0
library-app,pl.s32832.library.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
library-app,pl.s32832.library.exception,ApiExceptionHandler,68,0,0,0,11,0,7,0,7,0
library-app,pl.s32832.library.exception,BusinessRuleException,0,4,0,0,0,2,0,1,0,1
library-app,pl.s32832.library.exception,ValidationException,0,4,0,0,0,2,0,1,0,1
library-app,pl.s32832.library.dto.response,ProfileResponse,15,0,0,0,1,0,1,0,1,0
library-app,pl.s32832.library.dto.response,LoanResponse,21,0,0,0,1,0,1,0,1,0
library-app,pl.s32832.library.dto.response,BookResponse,21,0,0,0,1,0,1,0,1,0
library-app,pl.s32832.library.dto.response,AuthorResponse,9,0,0,0,1,0,1,0,1,0
library-app,pl.s32832.library.dto.response,UserResponse,12,0,0,0,1,0,1,0,1,0
library-app,pl.s32832.library.util,DateTimeProvider,5,0,0,0,2,0,2,0,2,0
library-app,pl.s32832.library.service,ProfileService,24,63,1,1,3,17,2,5,1,5
library-app,pl.s32832.library.service,LoanService,30,115,4,6,8,23,5,7,2,5
library-app,pl.s32832.library.service,UserService,13,63,0,2,4,11,2,6,2,5
library-app,pl.s32832.library.service,BookService,49,117,3,3,10,25,5,7,2,7
library-app,pl.s32832.library.service,AuthorService,13,45,0,0,4,9,2,5,2,5
library-app,pl.s32832.library.config,OpenApiConfig,17,0,0,0,6,0,2,0,2,0
library-app,pl.s32832.library.dto.request,CreateBookRequest,6,18,0,0,2,5,2,5,2,5
library-app,pl.s32832.library.dto.request,UpdateProfileRequest,0,17,0,0,0,5,0,5,0,5
library-app,pl.s32832.library.dto.request,CreateLoanRequest,0,17,0,0,0,5,0,5,0,5
library-app,pl.s32832.library.dto.request,CreateUserRequest,0,17,0,0,0,5,0,5,0,5
library-app,pl.s32832.library.dto.request,CreateAuthorRequest,0,10,0,0,0,3,0,3,0,3
library-app,pl.s32832.library.dto.request,UpdateUserRequest,0,10,0,0,0,3,0,3,0,3
library-app,pl.s32832.library.dto.request,UpdateBookRequest,3,14,0,0,1,4,1,4,1,4
library-app,pl.s32832.library.dto.request,ReturnLoanRequest,10,0,0,0,3,0,3,0,3,0
library-app,pl.s32832.library.dto.request,UpdateAuthorRequest,0,10,0,0,0,3,0,3,0,3
library-app,pl.s32832.library.dto.request,CreateProfileRequest,6,11,0,0,2,3,2,3,2,3
